# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType	Bases affected (DOWNSTREAM)	Total score (DOWNSTREAM)	Length (DOWNSTREAM)	Bases affected (EXON)	Total score (EXON)	Length (EXON)	Bases affected (GENE)	Total score (GENE)	Length (GENE)	Bases affected (INTRON)	Total score (INTRON)	Length (INTRON)	Bases affected (SPLICE_SITE_DONOR)	Total score (SPLICE_SITE_DONOR)	Length (SPLICE_SITE_DONOR)	Bases affected (UPSTREAM)	Total score (UPSTREAM)	Length (UPSTREAM)	Count (DOWNSTREAM)	Count (INTRON)	Count (NON_SYNONYMOUS_CODING)	Count (SPLICE_SITE_DONOR)	Count (START_LOST)	Count (STOP_GAINED)	Count (STOP_LOST)	Count (SYNONYMOUS_CODING)	Count (SYNONYMOUS_START)	Count (SYNONYMOUS_STOP)	Count (UPSTREAM)
PST130_00017	PST130_00017	mRNA	0	0	738	0	0	561	0	0	920	0	0	359	0	0	2	0	0	24	0	0	0	0	0	0	0	0	0	0	0
PST130_00018	PST130_00018	mRNA	0	0	132	4	0	447	4	0	638	0	0	191	0	0	4	0	0	2634	0	0	1	0	0	0	0	3	0	0	0
PST130_00019	PST130_00019	mRNA	0	0	7	0	0	1137	0	0	1251	0	0	114	0	0	4	0	0	4032	0	0	0	0	0	0	0	0	0	0	0
PST130_00020	PST130_00020	mRNA	0	0	1474	0	0	1560	0	0	2006	0	0	446	0	0	16	0	0	1810	0	0	0	0	0	0	0	0	0	0	0
PST130_00021	PST130_00021	mRNA	0	0	23	1	0	447	1	0	447	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	1	0	0	0
PST130_00022	PST130_00022	mRNA	0	0	2601	3	0	480	3	0	480	0	0	0	0	0	0	0	0	78	0	0	1	0	0	0	0	2	0	0	0
PST130_00023	PST130_00023	mRNA	0	0	510	0	0	420	0	0	536	0	0	116	0	0	4	0	0	265	0	0	0	0	0	0	0	0	0	0	0
PST130_00024	PST130_00024	mRNA	0	0	499	5	0	1005	5	0	2044	0	0	1039	0	0	6	0	0	649	0	0	3	0	0	0	0	2	0	0	0
PST130_00025	PST130_00025	mRNA	0	0	1274	1	0	3828	1	0	4449	0	0	621	0	0	12	0	0	543	0	0	1	0	0	0	0	0	0	0	0
PST130_00026	PST130_00026	mRNA	0	0	57	0	0	894	0	0	894	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0
PST130_00027	PST130_00027	mRNA	0	0	180	0	0	177	0	0	177	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0
PST130_00028	PST130_00028	mRNA	0	0	5000	1	0	1968	0	0	1968	0	0	0	0	0	0	0	0	614	0	0	1	0	0	0	0	0	0	0	0
PST130_00029	PST130_00029	mRNA	0	0	5000	0	0	1578	0	0	2151	0	0	573	0	0	6	1	0	3115	0	0	0	0	0	0	0	0	0	0	1
PST130_00030	PST130_00030	mRNA	0	0	5000	0	0	528	0	0	593	0	0	65	0	0	2	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_00031	PST130_00031	mRNA	0	0	5000	0	0	618	0	0	682	0	0	64	0	0	2	1	0	5000	0	0	0	0	0	0	0	0	0	0	1
PST130_00032	PST130_00032	mRNA	1	0	5000	0	0	231	0	0	305	0	0	74	0	0	2	0	0	183	1	0	0	0	0	0	0	0	0	0	0
PST130_00033	PST130_00033	mRNA	0	0	5000	1	0	5250	0	0	6562	0	0	1312	0	0	14	0	0	171	0	0	1	0	0	0	0	0	0	0	0
PST130_00034	PST130_00034	mRNA	0	0	200	0	0	429	0	0	429	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0
PST130_00035	PST130_00035	mRNA	0	0	4043	0	0	1692	0	0	2021	0	0	329	0	0	10	0	0	1959	0	0	0	0	0	0	0	0	0	0	0
PST130_00036	PST130_00036	mRNA	0	0	5000	0	0	1560	0	0	1748	0	0	188	0	0	4	0	0	42	0	0	0	0	0	0	0	0	0	0	0
PST130_00037	PST130_00037	mRNA	0	0	25	0	0	1293	0	0	1422	0	0	129	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_00038	PST130_00038	mRNA	0	0	1720	0	0	2079	0	0	2148	0	0	69	0	0	2	0	0	4155	0	0	0	0	0	0	0	0	0	0	0
PST130_00039	PST130_00039	mRNA	0	0	58	0	0	315	0	0	328	0	0	13	0	0	2	0	0	235	0	0	0	0	0	0	0	0	0	0	0
PST130_00040	PST130_00040	mRNA	12	0	5000	0	0	219	0	0	219	0	0	0	0	0	0	3	0	3965	12	0	0	0	0	0	0	0	0	0	3
PST130_00041	PST130_00041	mRNA	0	0	104	0	0	189	0	0	272	0	0	83	0	0	2	12	0	5000	0	0	0	0	0	0	0	0	0	0	12
PST130_00042	PST130_00042	mRNA	0	0	5000	12	0	2028	0	0	2446	0	0	418	0	0	6	0	0	584	0	0	4	0	0	0	0	8	0	0	0
PST130_00043	PST130_00043	mRNA	0	0	670	3	0	522	0	0	701	0	0	179	0	0	4	0	0	5000	0	0	3	0	0	0	0	0	0	0	0
PST130_00044	PST130_00044	mRNA	3	0	4344	0	0	315	0	0	648	0	0	333	0	0	4	0	0	4566	3	0	0	0	0	0	0	0	0	0	0
PST130_00045	PST130_00045	mRNA	0	0	2613	0	0	309	0	0	410	0	0	101	0	0	2	0	0	848	0	0	0	0	0	0	0	0	0	0	0
PST130_00046	PST130_00046	mRNA	0	0	582	0	0	864	0	0	1050	0	0	186	0	0	4	0	0	2239	0	0	0	0	0	0	0	0	0	0	0
PST130_00047	PST130_00047	mRNA	0	0	1167	0	0	300	0	0	533	0	0	233	0	0	4	0	0	1303	0	0	0	0	0	0	0	0	0	0	0
PST130_00048	PST130_00048	mRNA	0	0	36	0	0	294	0	0	447	0	0	153	0	0	2	0	0	1162	0	0	0	0	0	0	0	0	0	0	0
PST130_00049	PST130_00049	mRNA	0	0	1138	1	0	1824	1	0	2439	0	0	615	0	0	16	0	0	1376	0	0	0	0	0	0	0	1	0	0	0
PST130_00050	PST130_00050	mRNA	0	0	2476	0	0	1065	0	0	1533	0	0	468	0	0	10	0	0	1425	0	0	0	0	0	0	0	0	0	0	0
PST130_00051	PST130_00051	mRNA	0	0	2618	0	0	339	0	0	873	0	0	534	0	0	2	0	0	75	0	0	0	0	0	0	0	0	0	0	0
PST130_00052	PST130_00052	mRNA	0	0	35	0	0	222	0	0	289	0	0	67	0	0	2	0	0	3844	0	0	0	0	0	0	0	0	0	0	0
PST130_00053	PST130_00053	mRNA	0	0	2208	0	0	327	0	0	785	0	0	458	0	0	4	0	0	1175	0	0	0	0	0	0	0	0	0	0	0
PST130_00054	PST130_00054	mRNA	0	0	5000	1	0	330	0	0	562	0	0	232	0	0	6	0	0	52	0	0	1	0	0	0	0	0	0	0	0
PST130_00055	PST130_00055	mRNA	1	0	4505	0	0	828	0	0	907	0	0	79	0	0	2	0	0	1354	1	0	0	0	0	0	0	0	0	0	0
PST130_00056	PST130_00056	mRNA	0	0	2975	0	0	819	0	0	1150	0	0	331	0	0	10	1	0	2641	0	0	0	0	0	0	0	0	0	0	1
PST130_00057	PST130_00057	mRNA	0	0	1298	0	0	1461	0	0	1683	0	0	222	0	0	4	0	0	1287	0	0	0	0	0	0	0	0	0	0	0
PST130_00058	PST130_00058	mRNA	0	0	27	0	0	327	0	0	327	0	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0	0	0
PST130_00059	PST130_00059	mRNA	0	0	348	1	0	633	1	0	846	0	0	213	0	0	4	0	0	324	0	0	0	0	0	0	0	1	0	0	0
PST130_00060	PST130_00060	mRNA	5	0	3555	2	0	189	0	0	256	0	0	67	0	0	2	0	0	156	5	0	0	0	0	0	0	2	0	0	0
PST130_00061	PST130_00061	mRNA	2	0	782	5	0	2667	0	0	2938	0	0	271	0	0	6	0	0	247	2	0	4	0	0	0	0	1	0	0	0
PST130_00062	PST130_00062	mRNA	0	0	3771	0	0	453	0	0	551	0	0	98	0	0	2	0	0	473	0	0	0	0	0	0	0	0	0	0	0
PST130_00063	PST130_00063	mRNA	0	0	625	0	0	1572	0	0	1758	0	0	186	0	0	4	0	0	2412	0	0	0	0	0	0	0	0	0	0	0
PST130_00064	PST130_00064	mRNA	0	0	10	0	0	564	0	0	564	0	0	0	0	0	0	0	0	2222	0	0	0	0	0	0	0	0	0	0	0
PST130_00065	PST130_00065	mRNA	1	0	5000	0	0	864	0	0	1054	0	0	190	0	0	2	0	0	1088	1	0	0	0	0	0	0	0	0	0	0
PST130_00066	PST130_00066	mRNA	0	0	5000	1	0	492	0	0	580	0	0	88	0	0	2	0	0	442	0	0	1	0	0	0	0	0	0	0	0
PST130_00067	PST130_00067	mRNA	0	0	620	1	0	3048	0	0	4510	0	0	1462	0	0	20	1	0	5000	0	0	1	0	0	0	0	0	0	0	1
PST130_00068	PST130_00068	mRNA	0	0	445	0	0	921	0	0	1970	0	0	1049	0	0	14	0	0	2196	0	0	0	0	0	0	0	0	0	0	0
PST130_00069	PST130_00069	mRNA	0	0	953	0	0	4101	0	0	5309	0	0	1208	0	0	20	0	0	1867	0	0	0	0	0	0	0	0	0	0	0
PST130_00070	PST130_00070	mRNA	0	0	5000	0	0	306	0	0	400	0	0	94	0	0	4	0	0	897	0	0	0	0	0	0	0	0	0	0	0
PST130_00071	PST130_00071	mRNA	0	0	1097	0	0	552	0	0	973	0	0	421	0	0	10	0	0	1096	0	0	0	0	0	0	0	0	0	0	0
PST130_00072	PST130_00072	mRNA	0	0	514	0	0	1002	0	0	1479	0	0	477	0	0	6	0	0	1368	0	0	0	0	0	0	0	0	0	0	0
PST130_00073	PST130_00073	mRNA	3	0	5000	0	0	1566	0	0	2216	0	0	650	0	0	22	0	0	842	3	0	0	0	0	0	0	0	0	0	0
PST130_00074	PST130_00074	mRNA	0	0	5000	3	0	420	0	0	639	0	0	219	0	0	4	0	0	5000	0	0	1	0	0	0	0	2	0	0	0
PST130_00075	PST130_00075	mRNA	0	0	5000	0	0	492	0	0	603	0	0	111	0	0	2	6	0	5000	0	0	0	0	0	0	0	0	0	0	6
PST130_00076	PST130_00076	mRNA	0	0	2084	6	0	2622	0	0	2622	0	0	0	0	0	0	0	0	5000	0	0	6	0	0	0	0	0	0	0	0
PST130_00077	PST130_00077	mRNA	0	0	3146	0	0	453	0	0	511	0	0	58	0	0	2	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_00078	PST130_00078	mRNA	0	0	14	0	0	1797	0	0	2345	0	0	548	0	0	12	0	0	1356	0	0	0	0	0	0	0	0	0	0	0
PST130_00079	PST130_00079	mRNA	0	0	1561	0	0	312	0	0	385	0	0	73	0	0	4	0	0	149	0	0	0	0	0	0	0	0	0	0	0
PST130_00080	PST130_00080	mRNA	0	0	578	0	0	426	0	0	460	0	0	34	0	0	2	0	0	1057	0	0	0	0	0	0	0	0	0	0	0
PST130_00081	PST130_00081	mRNA	0	0	1043	0	0	255	0	0	302	0	0	47	0	0	2	0	0	750	0	0	0	0	0	0	0	0	0	0	0
PST130_00082	PST130_00082	mRNA	0	0	1	0	0	498	0	0	564	0	0	66	0	0	2	0	0	1992	0	0	0	0	0	0	0	0	0	0	0
PST130_00083	PST130_00083	mRNA	0	0	858	0	0	372	0	0	439	0	0	67	0	0	4	0	0	16	0	0	0	0	0	0	0	0	0	0	0
PST130_00084	PST130_00084	mRNA	0	0	35	0	0	243	0	0	243	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0
PST130_00085	PST130_00085	mRNA	0	0	42	3	0	1095	3	0	2380	0	0	1285	0	0	24	0	0	91	0	0	0	0	0	0	0	3	0	0	0
PST130_00086	PST130_00086	mRNA	0	0	5000	1	0	1413	0	0	1413	0	0	0	0	0	0	0	0	446	0	0	1	0	0	0	0	0	0	0	0
PST130_00087	PST130_00087	mRNA	1	0	2179	0	0	990	0	0	1608	0	0	618	0	0	14	0	0	4480	1	0	0	0	0	0	0	0	0	0	0
PST130_00088	PST130_00088	mRNA	0	0	330	0	0	591	0	0	701	0	0	110	0	0	2	0	0	4591	0	0	0	0	0	0	0	0	0	0	0
PST130_00089	PST130_00089	mRNA	0	0	862	0	0	1404	0	0	1808	0	0	404	0	0	8	0	0	2952	0	0	0	0	0	0	0	0	0	0	0
PST130_00090	PST130_00090	mRNA	0	0	24	0	0	285	0	0	285	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_00091	PST130_00091	mRNA	0	0	417	0	0	657	0	0	657	0	0	0	0	0	0	0	0	573	0	0	0	0	0	0	0	0	0	0	0
PST130_00092	PST130_00092	mRNA	0	0	796	0	0	582	0	0	1108	0	0	526	0	0	12	0	0	586	0	0	0	0	0	0	0	0	0	0	0
PST130_00093	PST130_00093	mRNA	0	0	534	3	0	1023	3	0	1102	0	0	79	0	0	2	0	0	555	0	0	1	0	0	0	0	2	0	0	0
PST130_00094	PST130_00094	mRNA	0	0	1850	0	0	234	0	0	302	0	0	68	0	0	2	0	0	1070	0	0	0	0	0	0	0	0	0	0	0
PST130_00095	PST130_00095	mRNA	0	0	13	0	0	366	0	0	426	0	0	60	0	0	2	0	0	228	0	0	0	0	0	0	0	0	0	0	0
PST130_00096	PST130_00096	mRNA	0	0	3692	1	0	1035	1	0	1788	0	0	753	0	0	16	0	0	2805	0	0	1	0	0	0	0	0	0	0	0
PST130_00097	PST130_00097	mRNA	0	0	293	0	0	321	0	0	516	0	0	195	0	0	2	0	0	1893	0	0	0	0	0	0	0	0	0	0	0
PST130_00098	PST130_00098	mRNA	0	0	1303	0	0	186	0	0	240	0	0	54	0	0	2	0	0	1159	0	0	0	0	0	0	0	0	0	0	0
PST130_00099	PST130_00099	mRNA	0	0	5000	0	0	243	0	0	311	0	0	68	0	0	2	0	0	61	0	0	0	0	0	0	0	0	0	0	0
PST130_00100	PST130_00100	mRNA	0	0	157	0	0	1212	0	0	1476	0	0	264	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_00101	PST130_00101	mRNA	0	0	3044	0	0	3213	0	0	4138	0	0	925	0	0	4	0	0	1488	0	0	0	0	0	0	0	0	0	0	0
PST130_00102	PST130_00102	mRNA	0	0	1783	2	0	3246	2	0	4181	0	0	935	0	0	16	0	0	1283	0	0	1	0	0	0	0	1	0	0	0
PST130_00103	PST130_00103	mRNA	0	0	542	0	0	270	0	0	370	0	0	100	0	0	2	0	0	1256	0	0	0	0	0	0	0	0	0	0	0
PST130_00104	PST130_00104	mRNA	0	0	265	0	0	315	0	0	509	0	0	194	0	0	4	0	0	250	0	0	0	0	0	0	0	0	0	0	0
PST130_00105	PST130_00105	mRNA	0	0	515	10	0	1521	10	0	1913	0	0	392	0	0	8	0	0	6	0	0	0	0	0	0	0	10	0	0	0
PST130_00106	PST130_00106	mRNA	0	0	190	0	0	222	0	0	352	0	0	130	0	0	2	0	0	230	0	0	0	0	0	0	0	0	0	0	0
PST130_00107	PST130_00107	mRNA	1	0	5000	0	0	2013	0	0	2081	0	0	68	0	0	2	0	0	5000	1	0	0	0	0	0	0	0	0	0	0
PST130_00108	PST130_00108	mRNA	0	0	5000	1	0	849	0	0	1382	0	0	533	0	0	8	0	0	4751	0	0	1	0	0	0	0	0	0	0	0
PST130_00109	PST130_00109	mRNA	1	0	5000	0	0	2142	0	0	3514	0	0	1372	0	0	34	0	0	5000	1	0	0	0	0	0	0	0	0	0	0
PST130_00110	PST130_00110	mRNA	0	0	310	1	0	570	0	0	673	0	0	103	0	0	2	0	0	5000	0	0	0	0	0	0	0	1	0	0	0
PST130_00111	PST130_00111	mRNA	0	0	433	0	0	384	0	0	410	0	0	26	0	0	2	0	0	433	0	0	0	0	0	0	0	0	0	0	0
PST130_00112	PST130_00112	mRNA	0	0	5000	7	0	579	0	0	906	0	0	327	0	0	2	0	0	887	0	0	3	0	0	0	0	4	0	0	0
PST130_00113	PST130_00113	mRNA	0	0	467	0	0	2913	0	0	3407	0	0	494	0	0	12	7	0	3459	0	0	0	0	0	0	0	0	0	0	7
PST130_00114	PST130_00114	mRNA	1	0	5000	4	0	1230	0	0	2322	0	0	1092	0	0	14	0	0	5000	1	0	0	0	0	0	0	4	0	0	0
PST130_00115	PST130_00115	mRNA	0	0	2356	0	0	1134	0	0	1513	0	0	379	0	0	8	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_00116	PST130_00116	mRNA	4	0	5000	0	0	1065	0	0	1214	0	0	149	0	0	2	0	0	5000	4	0	0	0	0	0	0	0	0	0	0
PST130_00117	PST130_00117	mRNA	13	0	3995	0	0	396	0	0	473	0	0	77	0	0	2	0	0	5000	13	0	0	0	0	0	0	0	0	0	0
PST130_00118	PST130_00118	mRNA	0	0	5000	1	0	813	0	0	1425	0	0	612	0	0	10	0	0	630	0	0	0	0	0	0	0	1	0	0	0
PST130_00119	PST130_00119	mRNA	0	0	2	13	0	1398	0	0	1760	0	0	362	0	0	10	0	0	5000	0	0	0	0	0	0	0	13	0	0	0
PST130_00120	PST130_00120	mRNA	0	0	2491	0	0	564	0	0	779	0	0	215	0	0	6	4	0	5000	0	0	0	0	0	0	0	0	0	0	4
PST130_00121	PST130_00121	mRNA	0	0	1575	0	0	420	0	0	728	0	0	308	0	0	8	0	0	57	0	0	0	0	0	0	0	0	0	0	0
PST130_00122	PST130_00122	mRNA	0	0	2761	0	0	288	0	0	355	0	0	67	0	0	2	0	0	200	0	0	0	0	0	0	0	0	0	0	0
PST130_00123	PST130_00123	mRNA	0	0	1381	0	0	579	0	0	579	0	0	0	0	0	0	0	0	1356	0	0	0	0	0	0	0	0	0	0	0
PST130_00124	PST130_00124	mRNA	0	0	8	0	0	285	0	0	446	0	0	161	0	0	2	0	0	118	0	0	0	0	0	0	0	0	0	0	0
PST130_00125	PST130_00125	mRNA	0	0	971	0	0	1419	0	0	1419	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
PST130_00126	PST130_00126	mRNA	0	0	1961	0	0	1086	0	0	1214	0	0	128	0	0	2	0	0	2861	0	0	0	0	0	0	0	0	0	0	0
PST130_00127	PST130_00127	mRNA	0	0	788	0	0	204	0	0	697	0	0	493	0	0	4	0	0	4551	0	0	0	0	0	0	0	0	0	0	0
PST130_00128	PST130_00128	mRNA	0	0	5000	0	0	213	0	0	225	0	0	12	0	0	2	0	0	2612	0	0	0	0	0	0	0	0	0	0	0
PST130_00129	PST130_00129	mRNA	0	0	5000	0	0	195	0	0	436	0	0	241	0	0	4	1	0	5000	0	0	0	0	0	0	0	0	0	0	1
PST130_00130	PST130_00130	mRNA	0	0	5000	1	0	1797	0	0	2133	0	0	336	0	0	8	0	0	348	0	0	0	0	0	0	0	1	0	0	0
PST130_00131	PST130_00131	mRNA	0	0	5000	2	0	855	0	0	1384	0	0	529	0	0	12	0	0	5000	0	0	0	0	0	0	0	2	0	0	0
PST130_00132	PST130_00132	mRNA	0	0	5000	0	0	432	0	0	647	0	0	215	0	0	4	2	0	5000	0	0	0	0	0	0	0	0	0	0	2
PST130_00133	PST130_00133	mRNA	0	0	86	0	0	909	0	0	1688	0	0	779	0	0	14	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_00134	PST130_00134	mRNA	0	0	5000	0	0	738	0	0	910	0	0	172	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_00135	PST130_00135	mRNA	0	0	482	0	0	399	0	0	537	0	0	138	0	0	4	0	0	2690	0	0	0	0	0	0	0	0	0	0	0
PST130_00136	PST130_00136	mRNA	0	0	410	0	0	414	0	0	1021	0	0	607	0	0	8	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_00137	PST130_00137	mRNA	0	0	5000	2	0	516	0	0	610	0	0	94	0	0	2	0	0	5000	0	0	2	0	0	0	0	0	0	0	0
PST130_00138	PST130_00138	mRNA	0	0	5000	0	0	2415	0	0	2492	0	0	77	0	0	6	0	0	462	0	0	0	0	0	0	0	0	0	0	0
PST130_00139	PST130_00139	mRNA	0	0	2987	0	0	1299	0	0	1452	0	0	153	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_00140	PST130_00140	mRNA	0	0	2562	0	0	282	0	0	359	0	0	77	0	0	2	2	0	5000	0	0	0	0	0	0	0	0	0	0	2
PST130_00141	PST130_00141	mRNA	2	0	5000	0	0	546	0	0	753	0	0	207	0	0	8	0	0	5000	2	0	0	0	0	0	0	0	0	0	0
PST130_00142	PST130_00142	mRNA	0	0	4580	0	0	702	0	0	763	0	0	61	0	0	2	0	0	5000	0	0	0	0	0	0	0	0	0	0	0
PST130_00143	PST130_00143	mRNA	0	0	1566	0	0	231	0	0	746	0	0	515	0	0	6	0	0	454	0	0	0	0	0	0	0	0	0	0	0
PST130_00144	PST130_00144	mRNA	0	0	804	0	0	321	0	0	321	0	0	0	0	0	0	0	0	1268	0	0	0	0	0	0	0	0	0	0	0
PST130_00145	PST130_00145	mRNA	0	0	134	0	0	216	0	0	300	0	0	84	0	0	4	0	0	24	0	0	0	0	0	0	0	0	0	0	0
PST130_00146	PST130_00146	mRNA	0	0	411	0	0	645	0	0	840	0	0	195	0	0	4	0	0	87	0	0	0	0	0	0	0	0	0	0	0
PST130_00147	PST130_00147	mRNA	0	0	83	0	0	447	0	0	542	0	0	95	0	0	2	0	0	3966	0	0	0	0	0	0	0	0	0	0	0
PST130_00148	PST130_00148	mRNA	0	0	521	0	0	1239	0	0	1481	0	0	242	0	0	4	0	0	2589	0	0	0	0	0	0	0	0	0	0	0
PST130_00149	PST130_00149	mRNA	0	0	26	0	0	228	0	0	228	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0
PST130_00150	PST130_00150	mRNA	0	0	412	0	0	258	0	0	258	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0
PST130_00151	PST130_00151	mRNA	0	0	636	2	0	2820	2	0	3644	0	0	824	0	0	22	0	0	97	0	0	1	0	0	0	0	1	0	0	0
PST130_00152	PST130_00152	mRNA	0	0	1099	2	0	429	2	0	429	0	0	0	0	0	0	0	0	2697	0	0	1	0	0	0	0	1	0	0	0
PST130_00153	PST130_00153	mRNA	0	0	101	0	0	237	0	0	285	0	0	48	0	0	2	0	0	127	0	0	0	0	0	0	0	0	0	0	0
PST130_00154	PST130_00154	mRNA	0	0	123	0	0	246	0	0	308	0	0	62	0	0	2	0	0	115	0	0	0	0	0	0	0	0	0	0	0
PST130_00155	PST130_00155	mRNA	0	0	1426	0	0	351	0	0	689	0	0	338	0	0	8	0	0	2194	0	0	0	0	0	0	0	0	0	0	0
PST130_00156	PST130_00156	mRNA	0	0	601	0	0	294	0	0	565	0	0	271	0	0	6	0	0	3143	0	0	0	0	0	0	0	0	0	0	0
PST130_00157	PST130_00157	mRNA	0	0	125	0	0	240	0	0	374	0	0	134	0	0	4	0	0	917	0	0	0	0	0	0	0	0	0	0	0
PST130_00158	PST130_00158	mRNA	0	0	626	0	0	534	0	0	534	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0
PST130_00159	PST130_00159	mRNA	0	0	11	0	0	252	0	0	252	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0
PST130_00160	PST130_00160	mRNA	0	0	2424	0	0	591	0	0	1492	0	0	901	0	0	10	0	0	2296	0	0	0	0	0	0	0	0	0	0	0
PST130_00161	PST130_00161	mRNA	0	0	650	0	0	870	0	0	1701	0	0	831	0	0	16	0	0	3861	0	0	0	0	0	0	0	0	0	0	0
PST130_00162	PST130_00162	mRNA	0	0	4717	0	0	222	0	0	254	0	0	32	0	0	2	0	0	1241	0	0	0	0	0	0	0	0	0	0	0
PST130_00163	PST130_00163	mRNA	0	0	498	3	0	951	3	0	1021	0	0	70	0	0	2	0	0	33	0	0	1	0	0	0	0	2	0	0	0
PST130_00164	PST130_00164	mRNA	0	0	1454	0	0	438	0	0	897	0	0	459	0	0	10	0	0	210	0	0	0	0	0	0	0	0	0	0	0
PST130_00165	PST130_00165	mRNA	0	0	3823	0	0	912	0	0	1117	0	0	205	0	0	4	0	0	56	0	0	0	0	0	0	0	0	0	0	0
PST130_00166	PST130_00166	mRNA	0	0	5000	0	0	420	0	0	509	0	0	89	0	0	2	0	0	287	0	0	0	0	0	0	0	0	0	0	0
